Vehicle ID,Identifier,Make,Model,Color,License Plate,Passenger Seats,Status,VIN,Garage Stop,Contractor Name,Vehicle Model Year,Vehicle Description,Emissions Rate,Vehicle Type ID,Capacity Type,Created At,Updated At,Photo URL,Accessibility Features
8027a7ea-5929-422f-aa84-c7b0e1a4a411,EXPL1CA,Ford,Explorer Limited Sport,White,LDP 528,3,active,1FMSK8FH0PGA63255,"1115 Polson Ave, Winnipeg, MB R2X 1M7", Care Accessible Transportation,2023,Car,417,77e0beba-d929-4b9d-b543-920fc6faf5bc,legacy,2024-07-18 20:14:26,2024-07-19 10:54:58,,"walker (count: 2, seat cost: 0, first in last out: False); serviceAnimal (count: 1, seat cost: 1, first in last out: False)"
2afe4910-d1ac-40a8-8264-8dc5404e2e61,C16AB SUV,Toyota,RAV4 LE Hybrid,White,JBV 946,3,active,2T3BWRFV6PW175776,,AB Transit Inc.,2023,Car,417,77e0beba-d929-4b9d-b543-920fc6faf5bc,legacy,2024-07-18 11:51:04,2024-07-19 10:55:05,,"walker (count: 2, seat cost: 0, first in last out: False); serviceAnimal (count: 1, seat cost: 1, first in last out: False)"
6abb6ebe-02ce-42bf-b3ab-527c38c69a16,C15AB SUV,Toyota,RAV4 LE Hybrid,White,JBV 945,3,active,2T3BWRFVXPW173187,,AB Transit Inc.,2023,Car,417,77e0beba-d929-4b9d-b543-920fc6faf5bc,legacy,2024-07-18 11:49:24,2024-07-19 10:55:12,,"walker (count: 2, seat cost: 0, first in last out: False); serviceAnimal (count: 1, seat cost: 1, first in last out: False)"
6ff0db87-533e-4142-bedd-32f37610c2bd,C14AB SUV,Toyota,RAV4 XLE Hybrid,White,JBV 945,3,active,2T3RWRFV6PW169930,,AB Transit Inc.,2023,Car,417,77e0beba-d929-4b9d-b543-920fc6faf5bc,legacy,2024-07-18 11:48:36,2024-07-19 10:55:19,,"walker (count: 2, seat cost: 0, first in last out: False); serviceAnimal (count: 1, seat cost: 1, first in last out: False)"
18167665-3be6-4ad5-b5ee-4cefcad40823,C13AB SUV,Toyota,RAV4 LE Hybrid,White,JBV 933,3,active,2T3BWRFVXRW193720,,AB Transit Inc.,2024,Car,417,77e0beba-d929-4b9d-b543-920fc6faf5bc,legacy,2024-07-18 11:47:34,2024-07-19 10:55:26,,"walker (count: 2, seat cost: 0, first in last out: False); serviceAnimal (count: 1, seat cost: 1, first in last out: False)"
e59908ea-1833-4c3d-bf73-3b9a2540d389,TAOS2AB SUV,Volkswagen,Taos 4Motion S,White,JBS 521,3,active,3VVAX7B20NM068716,,AB Transit Inc.,2022,Car,417,77e0beba-d929-4b9d-b543-920fc6faf5bc,legacy,2024-06-08 21:22:53,2024-07-19 10:57:00,,"walker (count: 2, seat cost: 0, first in last out: False); serviceAnimal (count: 1, seat cost: 1, first in last out: False)"
59a6d9c6-49f7-4b3b-b3a2-c89e0adc1e69,TAOS1AB SUV,Volkswagen,Taos S,White,JBT 832,3,active,3VVCX7B2XPM331290,,AB Transit Inc.,2023,Car,417,77e0beba-d929-4b9d-b543-920fc6faf5bc,legacy,2024-06-08 21:12:36,2024-07-19 10:56:53,,"walker (count: 2, seat cost: 0, first in last out: False); serviceAnimal (count: 1, seat cost: 1, first in last out: False)"
0169916c-4daa-40aa-a35a-e5100ec9da9a,C12AB SUV,Toyota,RAV4 LE Hybrid,White,JBV 932,3,active,2T3BWRFV8RW198334,,AB Transit Inc.,2024,Car,417,77e0beba-d929-4b9d-b543-920fc6faf5bc,legacy,2024-06-08 20:48:12,2024-07-19 10:58:42,,"walker (count: 2, seat cost: 0, first in last out: False); serviceAnimal (count: 1, seat cost: 1, first in last out: False)"
b0824d92-6c48-4a63-8543-65b02074851a,706U BUS,Arboc (GM Chassis),Spirit of Freedom,White,KSH 706,8,active,,"175 Fennell Street, Winnipeg, MB  R3T 0M6",Urban Transit Ltd.,2019,27' Bus; 700U and 800E series,469,7cf39a3a-95f8-4bbf-8b60-dc5bc2ec8edd,legacy,2024-06-03 20:54:28,2024-07-19 10:58:48,,"wheelchair (count: 3, seat cost: 0, first in last out: True); walker (count: 2, seat cost: 0, first in last out: False); oversizedWalker (count: 2, seat cost: 0, first in last out: False); serviceAnimal (count: 2, seat cost: 0, first in last out: False); oxygenTank (count: 3, seat cost: 0, first in last out: False)"
1441d18d-7e7b-42b0-8be5-87defd11aeb9,704U BUS,Arboc (GM Chassis),Spirit of Freedom,White,KSH 704,8,active,,"175 Fennell Street, Winnipeg, MB  R3T 0M6",Urban Transit Ltd.,2019,27' Bus; 700U and 800E series,469,7cf39a3a-95f8-4bbf-8b60-dc5bc2ec8edd,legacy,2024-06-03 20:54:28,2024-07-19 10:58:54,,"wheelchair (count: 3, seat cost: 0, first in last out: True); walker (count: 2, seat cost: 0, first in last out: False); oversizedWalker (count: 2, seat cost: 0, first in last out: False); serviceAnimal (count: 2, seat cost: 0, first in last out: False); oxygenTank (count: 3, seat cost: 0, first in last out: False)"
